,NISCode,Fictious,NameFre,NameDut,NameGer,TransactionType,ParcelNature,ParcelsNumber,PriceP25,PriceP50,PriceP75,ParcelsAreaP25,ParcelsAreaP50,ParcelsAreaP75
47048894,13008B832,0,MOSSELGOREN,MOSSELGOREN,MOSSELGOREN,TOTAL,TOTAL,8.0,8500.0,22500.0,36500.0,943.0,1046.0,1244.0
47048903,13008B881,0,LEGGE,LEGGE,LEGGE,TOTAL,TOTAL,5.0,4500.0,4500.0,4500.0,1471.0,4683.0,4787.0
47048910,13008B890,0,KIEVIT - ROERDOMP,KIEVIT - ROERDOMP,KIEVIT - ROERDOMP,VENTEIMMEUB,TOTAL,7.0,12296.0,26495.0,35455.0,3460.0,5514.0,6580.0
47048912,13008B890,0,KIEVIT - ROERDOMP,KIEVIT - ROERDOMP,KIEVIT - ROERDOMP,TOTAL,TOTAL,10.0,12296.0,20247.5,35455.0,1290.0,3622.5,5589.0
47048919,13010A00-,0,GROBBENDONK-CENTRUM,GROBBENDONK-CENTRUM,GROBBENDONK-CENTRUM,VENTEIMMEUB,TOTAL,27.0,140000.0,230000.0,319250.0,160.0,410.0,437.0
47048921,13010A00-,0,GROBBENDONK-CENTRUM,GROBBENDONK-CENTRUM,GROBBENDONK-CENTRUM,TOTAL,TOTAL,56.0,140000.0,230000.0,319250.0,160.0,338.0,496.0
47048930,13010A010,0,HEI,HEI,HEI,TOTAL,TOTAL,11.0,145000.0,155000.0,165000.0,419.0,750.0,1293.0
47048939,13010A021,0,EISTERLEE,EISTERLEE,EISTERLEE,TOTAL,TOTAL,17.0,155172.22,192000.0,380000.0,627.0,826.0,870.0
47048948,13010A032,0,KERKVELD,KERKVELD,KERKVELD,TOTAL,TOTAL,7.0,62900.0,215225.0,352725.0,333.0,846.0,1999.0
47048973,13010A10-,0,LINDEKENS,LINDEKENS,LINDEKENS,VENTEIMMEUB,TOTAL,7.0,20197.5,143810.6,315000.0,99.0,510.5,910.0
47048975,13010A10-,0,LINDEKENS,LINDEKENS,LINDEKENS,TOTAL,TOTAL,18.0,22621.2,265000.0,265000.0,399.0,717.0,910.0
47048984,13010A112,0,BOUWELSE HEIDE,BOUWELSE HEIDE,BOUWELSE HEIDE,TOTAL,TOTAL,12.0,520000.0,782500.0,975000.0,1955.0,2839.5,3873.5
47049038,13010A212,0,MEERHOEVEN,MEERHOEVEN,MEERHOEVEN,TOTAL,TOTAL,7.0,385000.0,670000.0,1010000.0,117.0,701.0,1500.0
47049054,13010B00-,0,BOUWEL-KERN,BOUWEL-KERN,BOUWEL-KERN,VENTEIMMEUB,TOTAL,5.0,257500.0,260000.0,339950.0,580.0,786.0,786.0
